Treatment,Plot,Range,Row,Genotype,Species,Biomass0608_gm2,Biomass2708_gm2,Biomass1709_gm2,Biomass0110_gm2,Yield (kg/plot)
BS34,64,7,4,Banks,Barley,122.45,404.68,491.26,978.33,3.954
BS34,87,9,7,Banks,Barley,,,,,4.422
BS34,29,3,9,Banks,Barley,147.86,372.23,726.48,686.38,3.529
BS34,114,12,4,Bass,Barley,,,,,4.858
BS34,26,3,6,Bass,Barley,173.27,334.18,723.34,901.3,3.302
BS34,78,8,8,Bass,Barley,228.69,390.72,875.56,1165.93,3.909
BS34,65,7,5,Buff,Barley,120.03,374.94,601.37,1326.86,3.724
BS34,36,4,6,Buff,Barley,138.67,319.16,617.58,920.25,3.234
BS34,109,11,9,Buff,Barley,,,,,5.142
BS34,73,8,3,Commander,Barley,120.52,420.34,589.27,1181.25,3.629
BS34,14,2,4,Commander,Barley,132.62,282.37,699.62,1127.21,3.23
BS34,99,10,9,Commander,Barley,,,,,3.719
BS34,62,7,2,Compass,Barley,148.35,367.92,652.43,913.53,3.564
BS34,95,10,5,Compass,Barley,,,,,3.75
BS34,28,3,8,Compass,Barley,181.5,514.74,937.99,1041.52,3.293
BS34,54,6,4,Fathom,Barley,146.89,427.57,919.84,1108.97,3.067
BS34,6,1,6,Fathom,Barley,94.14,328.74,676.63,993.63,3.021
BS34,119,12,9,Fathom,Barley,,,,,4.364
BS34,93,10,3,Flinders,Barley,,,,,4.714
BS34,5,1,5,Flinders,Barley,180.05,316.69,647.35,777.04,3.282
BS34,68,7,8,Flinders,Barley,133.58,341.93,688.49,982.28,3.927
BS34,13,2,3,Hindmarsh,Barley,114.95,415.5,754.07,883.57,3.463
BS34,86,9,6,Hindmarsh,Barley,,,,,3.806
BS34,58,6,8,Hindmarsh,Barley,146.65,384.25,672.52,816.82,4.056
BS34,83,9,3,IGB1653,Barley,,,,,4.95
BS34,77,8,7,IGB1653,Barley,105.27,433.62,598.22,1320.72,4.483
BS34,18,2,8,IGB1653,Barley,77.2,381.93,609.11,896.39,3.776
BS34,103,11,3,IGB1705T,Barley,,,,,4.846
BS34,45,5,5,IGB1705T,Barley,91.48,304.03,634.04,763.92,3.22
BS34,16,2,6,IGB1705T,Barley,112.05,393.57,734.47,1064.29,3.026
BS34,72,8,2,IGB1824,Barley,77.92,404.51,742.94,797.58,3.468
BS34,116,12,6,IGB1824,Barley,,,,,5.076
BS34,19,2,9,IGB1824,Barley,88.33,333.34,737.62,1025.74,3.424
BS34,25,3,5,IGB1825,Barley,174.48,298.49,728.66,716.32,3.735
BS34,56,6,6,IGB1825,Barley,150.52,351.08,736.41,870.5,3.557
BS34,89,9,9,IGB1825,Barley,,,,,3.557
BS34,92,10,2,IGB1826,Barley,,,,,4.38
BS34,57,6,7,IGB1826,Barley,92.44,462.76,808.28,973.2,3.514
BS34,9,1,9,IGB1826,Barley,103.33,258.34,577.65,968.92,3.906
BS34,115,12,5,IGB1844,Barley,,,,,5.265
BS34,7,1,7,IGB1844,Barley,56.39,339.7,731.08,876.67,3.574
BS34,48,5,8,IGB1844,Barley,107.45,384.76,702.77,1121.79,3.44
BS34,15,2,5,IGB1849,Barley,135.76,271.99,659.69,1000.5,3.555
BS34,107,11,7,IGB1849,Barley,,,,,4.118
BS34,79,8,9,IGB1849,Barley,143.26,328.88,711.72,1059.45,3.982
BS34,113,12,3,IGB1852,Barley,,,,,5.2
BS34,37,4,7,IGB1852,Barley,101.4,431.98,823.53,981.02,3.492
BS34,59,6,9,IGB1852,Barley,125.6,361.17,733.02,1089.75,3.767
BS34,33,4,3,IGB1871,Barley,149.8,470.45,660.9,1103.74,3.502
BS34,66,7,6,IGB1871,Barley,143.99,433.33,578.14,1170.07,3.601
BS34,98,10,8,IGB1871,Barley,,,,,4.036
BS34,42,5,2,IGB1890,Barley,128.02,398.6,600.16,945.49,3.274
BS34,24,3,4,IGB1890,Barley,195.29,506.83,920.57,1014.37,3.867
BS34,96,10,6,IGB1890,Barley,,,,,4.192
BS34,12,2,2,IGB1922T,Barley,118.82,435.85,697.69,880.11,3.515
BS34,94,10,4,IGB1922T,Barley,,,,,4.326
BS34,49,5,9,IGB1922T,Barley,115.19,274.02,460.77,874.9,3.476
BS34,112,12,2,IGB1923T,Barley,,,,,4.457
BS34,4,1,4,IGB1923T,Barley,161.66,447.56,752.86,1114.65,3.212
BS34,46,5,6,IGB1923T,Barley,151.01,313.28,747.54,1130.31,3.281
BS34,102,11,2,IGB1964,Barley,,,,,4.07
BS34,74,8,4,IGB1964,Barley,128.99,305.6,530.95,1088.1,4.083
BS34,38,4,8,IGB1964,Barley,114.95,262.02,590.24,860.89,3.232
BS34,32,4,2,La Trobe,Barley,135.04,223.18,415.51,939.61,3.576
BS34,85,9,5,La Trobe,Barley,,,,,3.968
BS34,47,5,7,La Trobe,Barley,89.54,302.43,757.46,1004.69,3.35
BS34,2,1,2,Litmus,Barley,146.41,400.83,785.29,998.81,2.739
BS34,55,6,5,Litmus,Barley,158.99,334.26,792.55,786.72,2.97
BS34,97,10,7,Litmus,Barley,,,,,3.44
BS34,53,6,3,Oxford,Barley,146.17,345.51,667.19,991.96,4.726
BS34,106,11,6,Oxford,Barley,,,,,5.063
BS34,8,1,8,Oxford,Barley,144.23,369.2,568.22,839.4,4.14
BS34,52,6,2,RGT Planet,Barley,126.57,468.64,801.75,545.49,4.154
BS34,17,2,7,RGT Planet,Barley,91.72,463.34,704.7,1043.09,3.933
BS34,88,9,8,RGT Planet,Barley,,,,,4.216
BS34,23,3,3,Rosalind,Barley,129.95,396.06,812.39,957.28,3.69
BS34,75,8,5,Rosalind,Barley,143.51,346.77,513.23,1022.98,4.041
BS34,117,12,7,Rosalind,Barley,,,,,5.392
BS34,22,3,2,SA12115-014-013,,131.41,330.92,      ,895.4,4.055
BS34,44,5,4,SA12115-014-013,,146.41,393.52,564.83,919.58,3.956
BS34,108,11,8,SA12115-014-013,,,,,,4.17
BS34,43,5,3,SA12118-014-010,,112.53,300.96,528.53,954.23,3.75
BS34,84,9,4,SA12118-014-010,,,,,,4.222
BS34,27,3,7,SA12118-014-010,,167.95,395.68,671.07,770.5,3.532
BS34,105,11,5,SA12126-014-009-1401,,,,,,4.148
BS34,76,8,6,SA12126-014-009-1401,,190.21,425.78,983,1240.01,3.975
BS34,39,4,9,SA12126-014-009-1401,,158.99,428.35,872.65,891.24,3.527
BS34,3,1,3,Scope CL,Barley,106.96,370.56,678.08,1110.1,3.087
BS34,104,11,4,Scope CL,Barley,,,,,4.263
BS34,67,7,7,Scope CL,Barley,144.47,404.92,627.26,902.95,3.877
BS34,82,9,2,Spartacus CL,Barley,,,,,3.847
BS34,34,4,4,Spartacus CL,Barley,124.87,414.16,653.64,1053.4,3.797
BS34,69,7,9,Spartacus CL,Barley,123.66,371.16,695.75,969.82,3.952
BS34,63,7,3,Westminster,Barley,141.33,295.29,591.21,850.99,3.454
BS34,35,4,5,Westminster,Barley,106.72,290.96,581.04,871.54,3.228
BS34,118,12,8,Westminster,Barley,,,,,5.691
