Treatment,Plot,Range,Row,Genotype,Species,Biomass0608_gm2,Biomass2708_gm2,Biomass1709_gm2,Biomass0110_gm2,Yield (kg/plot)
HTPC,2001,2,1,Banks,Barley,151.1895,431.03225,917.422,1090.452,3.515
HTPC,12001,12,1,Banks,Barley,137.2019,325.64125,711.238,1137.158,3.576
HTPC,7002,7,2,Banks,Barley,,,,,3.33
HTPC,10002,10,2,Banks,Barley,,,,,3.355
HTPC,3003,3,3,Banks,Barley,,,,,4.007
HTPC,4003,4,3,Banks,Barley,,,,,3.095
HTPC,6004,6,4,Banks,Barley,133.6687,403.34745,876.3062,1202.014,3.231
HTPC,7004,7,4,Banks,Barley,96.7153,327.14165,847.726,1162.326,2.902
HTPC,1005,1,5,Banks,Barley,89.7941,400.73385,740.036,1240.008,3.235
HTPC,9005,9,5,Banks,Barley,161.8617,269.73925,927.3682,1232.264,3.416
HTPC,1006,1,6,Banks,Barley,,,,,3.502
HTPC,2006,2,6,Banks,Barley,,,,,3.971
HTPC,9006,9,6,Banks,Barley,,,,,3.718
HTPC,3008,3,8,Banks,Barley,210.1165,414.57625,829.5276,1342.858,3.137
HTPC,4008,4,8,Banks,Barley,211.8105,426.79725,945.252,1267.112,3.133
HTPC,8008,8,8,Banks,Barley,159.3933,458.98325,613.228,1129.172,3.128
HTPC,2009,2,9,Banks,Barley,173.5503,451.65065,972.598,1179.992,3.654
HTPC,4009,4,9,Banks,Barley,178.5355,540.68245,935.9108,1149.258,3.465
HTPC,7009,7,9,Banks,Barley,181.6815,437.51785,922.02,1065.526,3.657
HTPC,11009,11,9,Banks,Barley,168.2263,344.10585,968.242,1160.148,3.32
HTPC,3011,3,11,Banks,Barley,,,,,3.637
HTPC,6011,6,11,Banks,Barley,,,,,3.608
HTPC,3012,3,12,Banks,Barley,149.5923,500.70405,808.6188,1197.174,3.726
HTPC,4012,4,12,Banks,Barley,193.2249,550.14465,937.024,1605.67,3.626
HTPC,8001,8,1,Buff,Barley,205.2765,416.19765,910.404,998.25,3.894
HTPC,9002,9,2,Buff,Barley,,,,,4.314
HTPC,10003,10,3,Buff,Barley,,,,,3.683
HTPC,12003,12,3,Buff,Barley,,,,,4.08
HTPC,5004,5,4,Buff,Barley,133.1363,513.60265,924.4158,1340.438,3.89
HTPC,9004,9,4,Buff,Barley,165.2739,500.29265,608.872,1162.326,3.659
HTPC,10004,10,4,Buff,Barley,116.1963,401.16945,1122.396,1208.79,3.131
HTPC,11004,11,4,Buff,Barley,199.5895,506.12485,788.436,1538.878,3.531
HTPC,11005,11,5,Buff,Barley,252.5633,450.65845,667.2182,1236.378,3.544
HTPC,5006,5,6,Buff,Barley,,,,,4.565
HTPC,3007,3,7,Buff,Barley,,,,,4.649
HTPC,4007,4,7,Buff,Barley,,,,,4.565
HTPC,7007,7,7,Buff,Barley,,,,,4.791
HTPC,11007,11,7,Buff,Barley,,,,,4.433
HTPC,1008,1,8,Buff,Barley,280.0787,454.96605,946.704,1137.884,3.64
HTPC,6008,6,8,Buff,Barley,251.0871,371.88745,775.852,1428.526,3.66
HTPC,5009,5,9,Buff,Barley,204.0181,619.04205,1365.606,1026.322,3.77
HTPC,6009,6,9,Buff,Barley,188.8931,548.59585,983.004,1388.838,3.971
HTPC,12009,12,9,Buff,Barley,190.7565,444.46325,1111.022,1322.288,3.676
HTPC,3010,3,10,Buff,Barley,,,,,4.617
HTPC,5010,5,10,Buff,Barley,,,,,4.219
HTPC,6010,6,10,Buff,Barley,,,,,3.887
HTPC,11011,11,11,Buff,Barley,,,,,4.337
HTPC,12011,12,11,Buff,Barley,,,,,3.658
HTPC,3001,3,1,Devil,Wheat,66.4411,263.08425,612.2842,573.298,3.893
HTPC,5001,5,1,Devil,Wheat,114.5265,301.99785,610.0578,960.74,4.785
HTPC,9001,9,1,Devil,Wheat,87.1079,245.00685,601.37,817.96,3.735
HTPC,1002,1,2,Devil,Wheat,,,,,4.157
HTPC,5002,5,2,Devil,Wheat,,,,,5.264
HTPC,8002,8,2,Devil,Wheat,,,,,4.735
HTPC,11002,11,2,Devil,Wheat,,,,,4.613
HTPC,2003,2,3,Devil,Wheat,,,,,4.714
HTPC,4005,4,5,Devil,Wheat,98.6029,311.75045,865.6582,1026.806,4.592
HTPC,5005,5,5,Devil,Wheat,91.4397,410.22025,623.4404,1245.574,4.499
HTPC,10005,10,5,Devil,Wheat,50.0819,293.43105,660.539,869.022,3.738
HTPC,12006,12,6,Devil,Wheat,,,,,5.355
HTPC,5007,5,7,Devil,Wheat,,,,,4.998
HTPC,6007,6,7,Devil,Wheat,,,,,5.13
HTPC,12007,12,7,Devil,Wheat,,,,,4.706
HTPC,11008,11,8,Devil,Wheat,72.5153,250.96005,554.9302,996.556,3.861
HTPC,9009,9,9,Devil,Wheat,127.6913,346.62265,888.019,955.658,3.994
HTPC,9010,9,10,Devil,Wheat,,,,,5.413
