Treatment,Plot,Range,Row,Name,Species,Fresh Weight (g),Dry Weight (g),Time,Plant height(cm),Plant height(cm)  – rep 2,Weight (kg/plot),Yield (t/ha)
HTPC,1001,1,1,1705T_106,Barley,63.24,11.38,August,26,25,3.15,2.56
HTPC,5010,5,10,1705T_106,Barley,47.92,9.44,August,21,25,3,2.44
HTPC,1001,1,1,1705T_106,Barley,176.85,38.4,September,48,43,3.15,2.56
HTPC,5010,5,10,1705T_106,Barley,206.73,43,September,45,46,3,2.44
HTPC,1001,1,1,1705T_106,Barley,253.1,127.8,October,55,60,3.15,2.56
HTPC,5010,5,10,1705T_106,Barley,340.1,171.7,October,60,60,3,2.44
HTPC,1009,1,9,1705T_177,Barley,68.86,12.96,August,29,28,3.3,2.68
HTPC,2007,2,7,1705T_177,Barley,80.01,16.55,August,31,30,3.05,2.48
HTPC,3002,3,2,1705T_177,Barley,43.41,9.11,August,25,24,2.5,2.03
HTPC,4012,4,12,1705T_177,Barley,63,14.33,August,24,27,3.3,2.68
HTPC,1009,1,9,1705T_177,Barley,221.51,49.7,September,48,47,3.3,2.68
HTPC,2007,2,7,1705T_177,Barley,186.06,44.5,September,47,43,3.05,2.48
HTPC,3002,3,2,1705T_177,Barley,148.53,31.7,September,41,45,2.5,2.03
HTPC,4012,4,12,1705T_177,Barley,172.6,38.5,September,45,44,3.3,2.68
HTPC,1009,1,9,1705T_177,Barley,261.9,135,October,60,60,3.3,2.68
HTPC,2007,2,7,1705T_177,Barley,168.6,135.4,October,60,65,3.05,2.48
HTPC,3002,3,2,1705T_177,Barley,147.6,121.9,October,60,65,2.5,2.03
HTPC,4012,4,12,1705T_177,Barley,167.8,94.7,October,60,60,3.3,2.68
HTPC,5001,5,1,1705T_66,Barley,58.33,10.37,August,25,27,3,2.44
HTPC,6009,6,9,1705T_66,Barley,28.5,5.6,August,21,22,2.35,1.91
HTPC,5001,5,1,1705T_66,Barley,251.12,49.3,September,46,45,3,2.44
HTPC,6009,6,9,1705T_66,Barley,108.25,46.4,September,30,42,2.35,1.91
HTPC,5001,5,1,1705T_66,Barley,206.3,97.8,October,65,65,3,2.44
HTPC,6009,6,9,1705T_66,Barley,174.8,86,October,55,60,2.35,1.91
HTPC,5012,5,12,Banks _102,Barley,20.08,5.17,August,15,18,2.8,2.27
HTPC,6002,6,2,Banks _102,Barley,93.41,20.87,August,16,19,3.1,2.52
HTPC,6007,6,7,Banks _102,Barley,56.22,12.53,August,21,24,2.2,1.79
HTPC,5012,5,12,Banks _102,Barley,187.8,40.9,September,39,36,2.8,2.27
HTPC,6002,6,2,Banks _102,Barley,147.79,34.5,September,34,32,3.1,2.52
HTPC,6007,6,7,Banks _102,Barley,102.16,24.5,September,37,42,2.2,1.79
HTPC,5012,5,12,Banks _102,Barley,325.8,140.1,October,65,65,2.8,2.27
HTPC,6002,6,2,Banks _102,Barley,240,105.9,October,65,60,3.1,2.52
